505.,275.
125.,645.
415.,515.
415.,555.
275.,745.
475.,95.
225.,325.
405.,145.
475.,205.
395.,535.
255.,585.
195.,655.
315.,995.
395.,1145.
375.,225.
375.,345.
385.,375.
205.,35.
305.,795.
335.,205.
265.,805.
465.,245.
285.,725.
305.,645.
445.,345.
365.,315.
135.,865.
175.,735.
335.,615.
355.,305.
405.,575.
565.,305.
285.,205.
235.,845.
345.,455.
255.,945.
315.,655.
445.,75.
545.,165.
455.,315.
465.,295.
465.,135.
405.,555.
365.,515.
405.,115.
315.,765.
155.,745.
235.,675.
85.,915.
215.,725.
315.,735.
535.,235.
325.,215.
225.,725.
385.,765.
545.,325.
205.,755.
555.,185.
135.,675.
505.,385.
525.,235.
635.,155.
345.,405.
455.,1145.
295.,695.
235.,55.
115.,835.
475.,315.
495.,385.
295.,315.
155.,35.
235.,35.
195.,785.
285.,865.
435.,255.
365.,1005.
445.,185.
205.,895.
485.,335.
345.,725.
505.,495.
385.,365.
245.,495.
345.,545.
595.,265.
115.,915.
245.,355.
235.,265.
295.,505.
425.,325.
245.,185.
235.,475.
305.,925.
325.,135.
555.,275.
155.,965.
375.,1045.
545.,365.
255.,865.
75.,815.
375.,155.
175.,725.
85.,805.
355.,855.
595.,295.
165.,45.
625.,325.
345.,585.
205.,835.
465.,415.
515.,425.
455.,295.
255.,655.
305.,765.
635.,325.
285.,755.
575.,165.
215.,325.
615.,145.
425.,615.
145.,645.
225.,205.
485.,255.
415.,485.
205.,865.
165.,605.
425.,305.
455.,215.
285.,935.
195.,755.
285.,575.
435.,265.
275.,705.
605.,215.
345.,365.
405.,175.
265.,785.
295.,205.
275.,45.
275.,285.
525.,295.
315.,325.
455.,135.
295.,65.
365.,115.
465.,85.
235.,785.
265.,245.
455.,85.
325.,335.
355.,765.
235.,365.
625.,145.
405.,585.
405.,845.
525.,445.
625.,215.
345.,815.
125.,765.
265.,135.
475.,425.
285.,945.
575.,265.
385.,265.
475.,455.
465.,375.
185.,675.
545.,305.
115.,845.
305.,195.
325.,965.
295.,185.
325.,485.
535.,275.
285.,885.
455.,465.
445.,335.
585.,115.
245.,675.
225.,105.
195.,45.
565.,235.
395.,405.
225.,535.
495.,395.
515.,315.
525.,185.
555.,175.
425.,1165.
355.,555.
235.,635.
295.,745.
555.,155.
355.,715.
315.,945.
195.,775.
375.,865.
425.,635.
385.,395.
395.,545.
505.,395.
